player_name,season,mp,raptor_offense,raptor_defense
Eric Gordon,2022,1669,0.05,-2.67
Devonte' Graham,2020,2211,2.94,-1.54
Devonte' Graham,2021,1659,1.84,0.56
Devonte' Graham,2022,2222,0.93,-1.58
Treveon Graham,2020,929,-3.46,0.23
Jerami Grant,2020,2545,-0.98,-1.15
Jerami Grant,2021,1829,1.07,-0.44
Jerami Grant,2022,1500,-0.52,-0.69
Jerian Grant,2020,80,-1.12,-3.77
Hassani Gravett,2022,171,-0.4,-0.06
Josh Gray,2020,23,-12.83,-0.23
Danny Green,2020,2212,0.94,2.09
Danny Green,2021,2133,0.83,2.1
Danny Green,2022,1672,-0.25,1.33
Draymond Green,2020,1222,-2.46,2.31
Draymond Green,2021,1982,1.02,3.55
Draymond Green,2022,2032,-0.96,4.76
JaMychal Green,2020,1529,-1.33,-0.89
JaMychal Green,2021,1310,0.19,-0.77
JaMychal Green,2022,1154,-2.21,-0.29
Javonte Green,2020,474,-2.76,-0.16
Javonte Green,2021,473,-0.12,1.05
Javonte Green,2022,1591,0.14,1.66
Jalen Green,2022,2138,-1.54,-2.73
Jeff Green,2020,1301,-0.8,-0.46
